2025-09-15 21:51:13,345 - INFO - <module>:100 - Creating data directory: lighter_data
2025-09-15 21:51:13,346 - INFO - <module>:102 - Data directory created successfully
2025-09-15 21:51:13,346 - INFO - main:347 - === Starting Lighter DEX Data Collector ===
2025-09-15 21:51:13,346 - INFO - main:348 - Tracking symbols: ['ETH', 'BTC', 'PAXG']
2025-09-15 21:51:13,347 - INFO - main:352 - Initializing API client...
2025-09-15 21:51:13,352 - INFO - main:355 - ✓ API client initialized
2025-09-15 21:51:13,352 - INFO - main:358 - Discovering market IDs...
2025-09-15 21:51:13,352 - DEBUG - get_market_id:149 - Getting market ID for symbol: ETH
2025-09-15 21:51:14,915 - INFO - get_market_id:156 - Found market ID 0 for symbol ETH
2025-09-15 21:51:14,915 - DEBUG - get_market_id:149 - Getting market ID for symbol: BTC
2025-09-15 21:51:15,223 - INFO - get_market_id:156 - Found market ID 1 for symbol BTC
2025-09-15 21:51:15,224 - DEBUG - get_market_id:149 - Getting market ID for symbol: PAXG
2025-09-15 21:51:15,523 - INFO - get_market_id:156 - Found market ID 48 for symbol PAXG
2025-09-15 21:51:15,523 - INFO - main:370 - ✓ Mapped 3 markets: ['ETH', 'BTC', 'PAXG']
2025-09-15 21:51:15,524 - INFO - main:376 - Starting background tasks...
2025-09-15 21:51:15,524 - INFO - main:385 - ✓ All tasks started
2025-09-15 21:51:15,524 - INFO - main:386 - === Data collector is running (Press Ctrl+C to stop) ===
2025-09-15 21:51:15,524 - INFO - write_buffers_to_csv:207 - Starting CSV writer with 5s intervals...
2025-09-15 21:51:15,525 - INFO - fetch_recent_trades_periodically:168 - Starting periodic trade fetching...
2025-09-15 21:51:15,525 - INFO - websocket_manager:321 - Creating WebSocket client for 3 markets...
2025-09-15 21:51:18,764 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.45, ask=4523.22
2025-09-15 21:51:18,771 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:18,772 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.45, ask=4523.22
2025-09-15 21:51:18,773 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.45, ask=4523.22
2025-09-15 21:51:18,778 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.45, ask=4523.22
2025-09-15 21:51:18,785 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.22
2025-09-15 21:51:18,803 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.22
2025-09-15 21:51:18,811 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.22
2025-09-15 21:51:18,818 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:18,819 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.22
2025-09-15 21:51:18,828 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.22
2025-09-15 21:51:18,836 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.22
2025-09-15 21:51:18,841 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.22
2025-09-15 21:51:18,857 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:18,874 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:18,878 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:18,879 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.22
2025-09-15 21:51:18,884 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.22
2025-09-15 21:51:18,892 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.22
2025-09-15 21:51:18,899 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.22
2025-09-15 21:51:18,899 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:18,905 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.22
2025-09-15 21:51:18,917 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:18,918 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.22
2025-09-15 21:51:18,922 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.22
2025-09-15 21:51:18,947 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.22
2025-09-15 21:51:18,957 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:18,972 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:18,973 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.22
2025-09-15 21:51:18,978 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:18,994 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.22
2025-09-15 21:51:19,017 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.22
2025-09-15 21:51:19,033 - INFO - fetch_recent_trades_periodically:195 - Added 1 new trades for BTC
2025-09-15 21:51:19,047 - INFO - on_order_book_update:299 - Order book update for PAXG: bid=3681.03, ask=3682.19
2025-09-15 21:51:19,057 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.22
2025-09-15 21:51:19,064 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.22
2025-09-15 21:51:19,087 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:19,092 - INFO - on_order_book_update:299 - Order book update for PAXG: bid=3681.03, ask=3682.19
2025-09-15 21:51:19,108 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.22
2025-09-15 21:51:19,126 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.22
2025-09-15 21:51:19,140 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.83
2025-09-15 21:51:19,142 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:19,143 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.83
2025-09-15 21:51:19,152 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.83
2025-09-15 21:51:19,170 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:19,173 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.83
2025-09-15 21:51:19,183 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.83
2025-09-15 21:51:19,198 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.83
2025-09-15 21:51:19,203 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.83
2025-09-15 21:51:19,217 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:19,221 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.83
2025-09-15 21:51:19,225 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.83
2025-09-15 21:51:19,240 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.83
2025-09-15 21:51:19,244 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:19,256 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:19,270 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.83
2025-09-15 21:51:19,280 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.83
2025-09-15 21:51:19,295 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:19,303 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.83
2025-09-15 21:51:19,313 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:19,315 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.83
2025-09-15 21:51:19,317 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.83
2025-09-15 21:51:19,323 - INFO - on_order_book_update:299 - Order book update for PAXG: bid=3681.03, ask=3682.43
2025-09-15 21:51:19,335 - INFO - fetch_recent_trades_periodically:195 - Added 1 new trades for PAXG
2025-09-15 21:51:19,341 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.83
2025-09-15 21:51:19,348 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:19,360 - INFO - on_order_book_update:299 - Order book update for PAXG: bid=3681.03, ask=3682.43
2025-09-15 21:51:19,361 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.83
2025-09-15 21:51:19,365 - INFO - on_order_book_update:299 - Order book update for BTC: bid=115489.7, ask=115495.8
2025-09-15 21:51:19,380 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.83
2025-09-15 21:51:19,387 - INFO - on_order_book_update:299 - Order book update for PAXG: bid=3681.03, ask=3682.43
2025-09-15 21:51:19,397 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.83
2025-09-15 21:51:19,403 - INFO - on_order_book_update:299 - Order book update for ETH: bid=4522.06, ask=4523.83
